date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-28 09:30:00,8.03,7.38,2.209996,4.089992,6.1,24.7
2011-08-28 09:45:00,7.91,7.38,2.339995,4.229992,6.2,22.9
2011-08-28 10:00:00,8.07,7.36,2.459995,4.349991,7.0,24.9
2011-08-28 10:15:00,8.07,7.36,2.589995,4.509991,7.1,25.6
2011-08-28 10:30:00,8.09,7.37,2.789994,4.719991,7.5,22.8
2011-08-28 10:45:00,8.16,7.37,2.979994,4.93999,8.3,22.6
2011-08-28 11:00:00,8.13,7.37,3.159994,5.20999,8.4,26.2
2011-08-28 11:15:00,8.19,7.33,3.319993,5.429989,9.4,24.5
2011-08-28 11:30:00,8.21,7.37,3.459993,5.579989,9.8,28.3
2011-08-28 11:45:00,8.19,7.34,3.589993,5.689989,9.3,29.2
2011-08-28 12:00:00,8.16,7.34,3.709993,5.809988,9.9,23.2
2011-08-28 12:15:00,8.17,7.29,3.829992,5.919988,8.3,27.7
2011-08-28 12:30:00,8.1,7.38,3.949992,5.969988,9.6,29.2
2011-08-28 12:45:00,8.11,7.36,4.059992,5.989988,9.7,31.9
2011-08-28 13:00:00,8.13,7.39,4.169992,5.989988,9.3,30.6
2011-08-28 13:15:00,8.1,7.38,4.279991,5.999988,10.1,32.2
2011-08-28 13:30:00,8.09,7.3,4.389991,6.009988,10.2,31.7
2011-08-28 13:45:00,8.04,7.39,4.489991,6.019988,11.2,31.8
2011-08-28 14:00:00,8.06,7.38,4.589991,6.019988,12.5,39.0
2011-08-28 14:15:00,8.05,7.44,4.659991,6.029988,14.6,30.6
2011-08-28 14:30:00,8.05,7.45,4.679991,6.029988,18.4,33.8
2011-08-28 14:45:00,7.95,7.49,4.699991,6.029988,21.0,28.9
2011-08-28 15:00:00,8.04,7.57,4.709991,6.029988,30.5,26.1
2011-08-28 15:15:00,8.06,7.66,4.719991,6.029988,33.6,28.3
2011-08-28 15:30:00,8.06,7.59,4.719991,6.029988,36.6,30.4
2011-08-28 15:45:00,8.04,7.53,4.729991,6.029988,31.8,25.5
